global_step,episode_return
233,-31.772557160633973
409,-105.21789405353003
452,4.1918245594885555
604,-7.07427185592557
1043,-127.93908138102482
1151,-37.87427259194078
1170,-25.30998330032758
1227,-19.364187089659396
1271,-47.30926005411764
2271,-414.2679028828166
2327,-15.61866960710887
3327,-310.696059556704
3375,-22.138106501111075
3391,-0.8158952367640082
3482,-36.78000500291731
4482,-280.4326136707487
4520,-22.999169187233115
4549,-6.434190617804306
4567,0.4654905361076638
4630,-25.53240066677909
4643,-13.792471277388458
4676,-21.688080865447457
4716,-0.3345889131798552
4845,-45.05742500452917
4912,12.800389282387494
4948,-5.53195832605106
5192,-382.416493196435
5225,-98.93141761535695
5271,-60.30858855440367
5298,-52.78034566886898
5313,-31.391252255785496
5341,-58.71880420705612
5373,-20.342809923308785
5416,-88.85331388230281
5455,-27.664331489159377
5478,-41.43946162980333
5506,-76.39439357129865
5581,-126.6061310302145
5661,-150.0826051559074
5677,-24.969554730635956
5784,-183.948669169254
5807,-45.44725291065201
5835,-67.75992310849128
5904,-160.09908987545128
5920,-32.30673171596014
5985,-85.03910629348752
6009,-59.17336343271725
6127,-155.31175973443473
6173,-65.97877508284016
6308,-279.3219930135533
6384,-75.30328576959813
6458,-99.05746751102467
6494,-49.51724280721297
6553,-72.66452887263614
6650,-120.08837161203249
7650,-1589.5424271549482
7669,-27.984906450866927
7718,-69.04558727160413
7759,-59.0051827801713
7844,-120.89531486182553
7936,-174.04086853015963
7980,-73.69552343400399
8011,-39.009824264731705
8121,-121.43985732678013
8232,-94.86061588166561
9232,-1099.3732869431449
9452,-237.57197687757645
10452,-900.7938279710755
10522,-64.64168429593005
10796,-191.26939086164307
10871,-59.01997199547617
10930,-32.77520879516595
11178,-200.1854327050081
12178,-587.8225623976983
12195,-6.68740587719642
12309,-33.85982259615021
12431,-67.57100291294236
12449,-9.56486509869813
12486,-0.6723808681404906
12597,-41.779342180349055
12663,-14.190996634321882
12923,-185.27368077900832
12970,-5.786463853746341
13970,-429.5630184876606
14036,-26.011406734361433
14090,-45.5916048247748
14136,-48.467666987941534
15136,-484.8346562973574
15226,-37.75992775235228
15250,0.26358030716320835
15270,-7.816609590088308
15399,-31.495608002655768
15464,-32.75224979641196
15522,-37.369396089191866
15550,-48.1856431153965
16550,-432.95228407619
16663,-51.416327870439
16752,-61.103124018485204
16862,-27.004266115374943
17192,-57.84662448146342
17239,-22.483424182821675
17504,-148.35308033111468
18504,-568.3037178629542
18518,-8.483406407553474
18688,-130.28185015821123
18723,7.750456100812914
18805,-97.01863377423886
18896,-60.842872901614754
18912,-1.1998364065052205
18924,-5.611580207544865
19182,-170.88585647822552
19203,-11.769068571896415
19387,-131.3477895682411
19535,-105.76402225526216
19556,-12.377838176475915
20556,-663.6109884516004
21556,-647.6548586619588
21570,-9.03403117806083
22570,-592.6773369918254
22688,-58.89550987548554
22718,-7.011128742556452
22747,-32.91067841464666
22822,-66.07183695245789
22874,-25.10847539779054
23093,-170.71036590641842
23121,-31.11657793588045
23345,-123.47045840155688
23379,-0.5427829674966496
23439,-10.621479986741678
23551,-74.6505554718349
23585,-9.071751483750294
23619,-26.273013364404594
24619,-550.6710760593647
24700,-43.92502079965696
24771,-55.22319852729449
24908,-41.44171214937668
25043,-82.99700514235158
26043,-708.5127122385148
26098,-36.04781284457224
26119,-12.444474915252378
26174,-33.46345580879729
26308,-55.81662764890871
26358,-57.730875023875235
26436,-30.551975862239726
26480,-42.67735994932624
26498,-11.931052232277333
26523,-27.063308753994253
27523,-641.2419282372199
27533,-9.385002037885624
27674,-107.25360764471068
27760,-9.58071012861261
27858,-76.71523645072763
27888,-16.731292006163656
27912,-23.68290558640266
27968,-61.97341838264708
28042,-56.67765657722239
28130,-21.188561916043035
28156,-0.5735177501290318
28225,-6.028180025167107
28234,1.0445530787085102
28307,44.495053233774144
28372,-41.740845337632294
29372,-763.9899142780937
30372,-714.1725118210722
30429,-19.97113032020946
31429,-678.4464925383721
31442,-8.151043970243201
31463,-5.195860859444723
31514,-21.646802063064104
31534,-13.482958091224539
31546,-8.261507315405217
31616,-54.88251881032211
32616,-763.4862415192271
32708,-48.556853760786744
32779,-58.15778344430225
32816,-24.909734829816205
32867,-19.049065760512256
32955,-32.69109336077511
32998,-20.949827053496325
33046,-16.760520065428032
34046,-739.2165734209362
34109,-73.74064283516758
35109,-629.7303749049947
35124,-10.276592702500444
35386,-307.4148577864844
35402,-2.2097277964496085
35459,-11.298080802321168
35578,-148.09554812400054
35633,-25.697993908094222
35759,-66.91344821992948
35863,-43.08323954512413
35929,-84.33051059935426
36010,-66.77122028084037
36347,-134.12500913403133
36428,-75.47954157649275
37428,-696.2934317595224
38428,-715.7995612039631
38476,-17.089733323432643
38508,-17.022561597286167
38549,-45.98613463294015
38564,-14.728593766264044
38707,-87.91204631650194
38722,-20.71724608903719
38975,-99.24478142909726
39016,-14.519415325719976
39093,-27.680902089541576
39128,-45.672277898326534
40128,-745.9012545188325
40191,-19.8921491820439
40249,-58.889728898341424
40272,-11.801172279385508
40291,-4.7361194145388374
40341,-43.42949986058963
40363,-5.952886919011635
40375,-0.21507779883709754
40539,-104.70404351890232
40590,-29.092036261101235
40685,-96.22435096397042
40880,-138.47205271980658
40954,-45.41506856491657
41003,-17.97742358562325
41123,-123.42374598360331
42123,-680.3117062419337
42341,-182.2902852939963
42389,-33.26539336354587
42441,-26.73608075580091
42559,-43.292087805128205
42613,-34.40780848820496
42634,2.7244464670162913
42748,-50.20386322620348
42784,-43.16842741484243
43784,-698.4731790530108
43818,-19.971779520310424
43893,-51.02200383283596
43938,-38.05384834993191
43952,-0.11972222571105506
43989,-47.342882143363425
44326,-208.97878853751666
44664,-220.77847662955494
45664,-789.6610850769639
45682,-19.215033429383638
45715,-33.516488722309575
45819,-51.74960178483918
45877,-63.1121918961503
45928,-8.701566115249953
46129,-111.92672498294127
46231,-86.53753325977945
46347,-117.7000540228432
46433,-68.34845770721577
46474,-26.557385301240437
46498,-24.933930237021446
46526,-30.402784838255364
46568,-31.61753198083961
46704,-91.52951633722851
46744,-22.988738320465718
46867,-82.53078702929604
46951,-20.832228855327024
47056,-41.517464220568655
48056,-806.8759341493754
48147,-28.86558001330892
48187,-32.75509535711174
48222,-7.699344018041767
48297,-18.67622904236648
49297,-817.8919911004771
49383,-13.734250165873512
49410,25.861478585699523
49515,-38.932558450398076
49577,-12.853853873229237
50577,-783.2457403052586
50657,-83.35172521597994
50730,-49.937166537235825
50749,9.454173811595528
51749,-737.2682646835016
51763,-4.140238678723709
52763,-757.2392834843814
52901,-63.214966245774406
52997,-85.95846152962072
53997,-792.5895484936381
54021,-17.86346430922041
54141,-112.19234557945937
54415,-95.60664126697704
54526,-58.131879861327974
54579,-23.779992956099957
54661,-55.47376936991322
54713,-37.531731032788834
54791,-43.62460131799713
54853,-41.123013405867226
54873,-17.399432231307976
55873,-849.4423098234297
56031,-60.780480851730346
56113,-59.30445652997967
56279,-35.38327197642821
56463,-143.16894274884652
56531,-47.801557990262836
56541,-6.195684892023005
56639,-78.67792175289583
56678,-35.05502109312151
56692,-9.379226364013803
56790,-118.46205855669284
56953,-121.94376290837985
56972,-20.593076593032233
57077,-54.080565225657026
57270,-92.9497979927646
57393,-116.30348347674878
58393,-810.900277714342
58416,-17.027427715911102
58647,-145.30744489873248
59647,-869.7227431685615
59791,-23.00127789364903
59831,-33.1517572287282
60001,-81.30675563403683
60031,8.605883095993196
60279,-144.92103304078924
60296,-20.604636984630968
61296,-777.415395188678
61384,-40.84021695426496
61463,-54.62742625081694
61495,-23.714323090749062
61540,-28.551511762498478
61630,-38.95423201334472
61640,-2.6292297770587547
62640,-821.865977077725
62702,-90.5207913520285
62733,-22.26826347031949
62872,-164.97414652001203
63872,-804.6147354977855
63921,-24.33424036539625
63944,-3.696476528429955
64101,-177.04271047252863
64133,-26.93896654341618
64279,-124.49913540300055
64353,-62.11464691995863
64470,-117.06482375523225
65470,-791.6811148591306
65486,-21.815778028381985
65511,-29.116439879055786
65556,-29.103313678281452
65612,-36.37818671292695
65790,-172.92343373097265
66790,-838.8719966783773
67112,-157.97494062499794
67241,-87.9500972956195
67391,-116.13864351531961
67511,-97.84471153233119
67542,-11.197994430606435
67564,-10.887142469943502
67647,-44.14649134942056
67718,-67.22232675253382
68718,-771.0503931758834
68784,-21.29082515853089
68969,-120.48990578224567
69017,-15.55121794221927
69169,-68.83526181649061
69192,-19.255902692157104
69306,-107.09970011300781
70306,-916.5835717616096
71306,-729.8162705294429
71419,-72.95637044563661
72419,-865.0451865203568
72479,-19.63279103297533
72584,-89.41335360762527
72655,-49.809348594248895
72782,-106.94995981152888
72837,-12.226264894939257
73837,-770.3272614138526
74028,-146.05536378204775
74045,-18.512369028368887
74078,-25.61014480735703
74168,-94.95581626049024
74278,-71.36199554494648
74341,-13.069020764523586
74442,-46.152885119354224
74469,-7.966645099375581
74500,-11.90244197642171
74539,-37.01977964365389
74885,-358.96313075403333
74910,-21.9022893152536
75910,-765.9182138073559
75970,-35.74993286286118
76970,-883.8176784778732
77054,-44.77396516561382
77098,-45.35408022842621
77182,-91.04973426537114
77200,-0.049658562324882194
77231,-14.553856469074592
77481,-124.62608233213528
77694,-124.80601494896939
77732,-20.3804482273661
78732,-847.934601070877
78819,-76.81687266820886
79819,-749.9607981713699
79885,-33.485750436571635
80026,-107.9076336653758
80086,-38.08989950437139
80164,-79.74977692445026
81164,-876.7227173328204
81228,-55.971556231296645
81265,-22.388775341564298
82265,-827.9201722761181
82312,-26.11054494517979
82351,-33.1306365168403
82485,-109.79930137247061
82522,-25.561986395499414
82660,-64.61883590807548
82674,-14.799656190017664
83674,-919.7620844519191
83695,-19.992153752465548
84695,-940.2122968514109
84744,-39.93696832940507
84830,-4.1283798414207435
84895,3.2116412917719828
85895,-853.3700925026588
85910,-22.199983140131835
86910,-882.7754901319955
86937,-42.68001668826731
86970,-0.15436311559471694
87000,-17.125427897453918
87075,-50.31386443308761
88075,-928.2972180773439
88338,-143.25154933516774
88472,-86.74589945585629
89472,-944.9967196537372
89609,-150.0161372678352
89688,-67.34113446744345
89737,-24.209793137976185
89767,-42.04233544699452
90767,-963.4987424537965
91767,-954.2585371368291
91858,-71.23494247938574
91902,-13.216415153781057
91985,-91.15225675940749
92068,-72.86604979329249
93068,-879.7010040480145
93177,-52.8346128321978
93271,-91.9476023165304
94271,-926.6683375527907
94527,-271.4649040793198
95527,-898.3357156326099
95647,-90.88477366294617
96647,-910.4720268523653
96660,-1.33403112243424
96712,-38.92886621104158
96777,-56.378870461898586
96806,-46.00588454936191
96861,-63.092066382523036
96917,-75.27532657710044
96927,-14.465801247390916
97008,-74.20044471043558
97074,-70.0789311943164
97085,-6.061484829489409
97305,-155.68480267478762
97428,-54.30478441757397
97491,-45.179473668896364
97682,-266.5848851220205
97830,-98.59963754468157
97844,-0.6401112586507123
97854,-12.438420015289372
97902,-29.705975777313977
97943,-19.90073202073176
97986,-35.280700248232506
98986,-1002.5406250374625
99986,-947.9999487315124
100986,-1020.8544805054894
101038,-58.85992921085234
101071,-8.343745986388415
101142,-40.26229083684143
101328,-161.26897449791733
101503,-87.16218292533199
102503,-986.4354838341991
102708,-139.46477628192676
102830,-102.49581188108483
103830,-876.3212743594735
103987,-63.322205853564036
104143,-96.73398707654442
104171,-24.51707438169469
104284,-113.67218643024918
104299,-3.9765199412845127
104371,-41.90534827818453
104415,1.5138095391034572
104516,-84.86152411904843
104611,-36.23708083553771
104640,-20.911662071131683
104654,-16.70147231520657
104718,-33.343507094985135
104848,-111.50889990962436
104995,-138.62276771436188
105033,-16.272229305298584
106033,-933.2662413338904
106073,-39.54963991894375
107073,-1069.6674846860394
107201,-144.82808473415867
108201,-962.8142506790841
108421,-254.2116508327118
108442,-14.87946752791498
108498,-0.22207277577780093
109498,-996.4696523904745
109608,-67.85992934124253
109714,-91.13132065289942
110051,-304.48536760177535
110109,-52.053683111556865
110208,-61.89076621128716
110355,-193.057710152258
110484,-84.06893590930915
110507,-1.9626990812595895
110561,-71.2887027356788
110706,-99.3130211377257
110848,-121.71772023275236
110875,-12.614108931585646
110909,-22.435517734382543
111024,-111.15467490953722
111184,-184.88148713823566
111279,-82.43446743577172
111367,-49.496241698448415
111495,-100.47505946164719
111528,-21.29319602545138
111575,-28.26808063684541
111623,-21.741600621771035
111777,-101.9413628009902
111858,-49.58801101047955
111896,-49.98930948321718
111915,-5.830374315809719
112534,-657.8355049426316
113534,-1078.1759384792924
113631,-54.2175947564041
113648,-24.631001026487485
113671,-21.43000379815512
113684,-6.325273663688244
113697,-13.884677270591322
114697,-1073.1346802246683
115697,-1020.5044380029207
115848,-182.23508869043874
115934,-58.95835907439296
115997,-58.14166101608273
116064,-18.361273107714993
116078,-25.910012246269233
116129,-13.2778135482124
116165,-24.91199350442719
116317,-133.45951082162523
116396,-79.8590947469413
116509,-55.01293111918888
116579,-21.94055294941211
116661,-62.470641641540915
116689,-44.46129346109151
116722,-35.13070080929174
116854,-104.48139164586935
117045,-222.87834577750985
117080,-7.948514049405374
117164,-45.363191207335845
117285,-88.51584843047205
117437,-148.60282904258344
117549,-122.99280251148373
117612,-77.34391901970014
117701,-96.72905565043685
117753,-41.82676266432723
117828,-50.41872119205077
117842,-3.8033032732522756
117909,-41.310375844905
117934,-33.80180717802039
117988,-28.06535204479643
118087,-32.31876106365059
118231,-156.24060349371524
119231,-1026.9588604626786
119257,-25.433572031145687
119294,-14.641455317362452
119315,-17.826123669056294
119377,-53.15245833959779
119543,-158.6401658284727
119584,-15.701122486204225
119722,-142.18613827483927
120722,-976.2158145958228
120860,-140.05385060487666
120874,-22.46738460430275
120936,-37.64547793246799
121026,-92.06520897627134
122026,-941.2450853088499
122073,-31.368129540580103
122117,-36.56474305164769
123117,-885.8159242934191
123142,-30.480054062028987
124142,-934.4444655852041
125142,-841.8534580123649
125182,-4.254556503874286
126182,-903.9043980552358
126435,-150.05275480029633
126686,-158.16063315497564
126855,-122.69077342047272
127132,-190.0464433642325
127176,-6.33299080482428
127189,-8.168792877901694
127234,-61.72350699007632
127257,-6.759487332115697
127363,-175.49676741750295
128363,-932.2067667041093
129363,-1114.7192161173944
129448,-78.4976937990889
129507,-58.91503346905252
130507,-968.2817453377276
130518,-8.12979953723853
130574,-19.89725925750924
130590,-17.971819220044107
130644,-76.35201113173608
130822,-216.78044873298452
131437,-609.701796068605
131465,-11.957957440867037
131532,-42.837839828825544
131781,-211.65182119631896
131802,-25.820737519604414
131838,-34.11818378305981
131916,-62.13878929670923
132916,-932.4812424478081
132962,-22.453446338663447
133049,0.3095328724587523
133108,-44.73784761771159
133149,-1.9636770496858498
133248,-113.24567202570813
133272,-29.85734383407707
134272,-968.2978621952839
135272,-901.5352039026781
135367,-45.46829746218224
135562,-127.87997221856394
136562,-814.860818499353
137562,-826.7647630545504
137679,-101.92297855157153
137836,-50.766285716009634
137863,-16.408420655873456
137933,-46.495878581637584
138173,-162.16605037832338
138216,1.7989361208414651
138293,-1.5932140766384906
139293,-735.7585042254568
140293,-773.7980233906931
140389,5.431581459298062
140428,-6.230746032708705
141428,-729.857453341273
141537,-28.509161258324394
141619,-45.634277243745444
141697,-58.9009915066821
141762,-47.23003396963535
141829,0.6758040082659109
141886,-20.77117038692133
142886,-872.7589889508387
143886,-865.9935006987588
143979,-65.18421183266459
144020,-44.724578803705526
144091,-58.438639478100406
144174,-31.7996821801445
145174,-888.4333597047877
145253,-36.03854915167436
145305,7.332210863802652
145361,-16.08101773153506
145450,-52.85564269533323
145602,-174.7833958300266
146602,-747.6985692289686
146750,-56.72716772538906
146795,-28.218928016813294
146920,-30.442513952289463
146998,30.660115224577225
147998,-742.6702658436278
148025,-13.04666552806803
148231,-60.8814418972575
148283,23.485419567689274
148413,-37.06021607149773
149413,-637.5259346119789
149689,-149.030698778015
150689,-593.1139997937793
151278,-299.32372796899597
151406,-16.107036782643686
151666,-125.16830427291438
152166,-226.2989231526148
152629,-129.88649692745636
152730,-27.438890195498878
153730,-391.4579642699432
153775,-11.726834051757711
153912,-61.96652790123933
154912,-593.3982996532171
155912,-652.840868738418
156024,-35.78400034495906
156130,0.8316136535701162
157130,-657.6929423009649
157187,-26.104509393830952
157276,-45.07935811758169
158276,-538.8750711979944
158356,-84.86190582329553
159356,-512.5967893552181
160356,-637.3525546298695
160569,-120.61814377974025
160709,-56.266921108872076
160808,-27.26956287298541
160972,-71.30351543621751
161113,-136.76100845179525
162113,-523.3397686296789
162435,-73.22680832774952
162738,-167.86635203969587
162758,-7.040895869150135
162783,-13.027793504000055
163526,-384.18551445026117
163633,18.93188437268266
163772,-47.680187392826646
164772,-474.43392583064156
165663,-508.0262038717693
165836,-55.21318562631974
165852,-9.223573129722578
165888,-9.081873016293613
166888,-504.37201689072236
167075,-57.54436114698699
167307,5.222694267961941
168307,-445.6544389370012
168425,-13.93714698123052
168465,7.910153134701586
168529,-0.0561339245292356
169529,-484.7494789334581
169679,-63.60073428310953
169853,-81.18537718396426
170853,-608.6542633487647
170880,-2.7413943563266288
170894,2.1404964334230696
170982,31.603026288606017
171223,-42.52501336465701
171239,-3.233229278921004
171508,-140.72924476362965
171554,11.122863340729157
171672,-26.991430660629387
171786,-59.32607705757743
171940,20.26645142533736
172171,-155.5277183379616
172481,-72.57071981870232
172520,-32.63196554879362
172781,-17.98045886435307
172837,9.2931839242985
173837,-488.09691825499215
174837,-401.69994863090903
174997,46.883487783700105
175997,-435.3493400678379
176997,-468.95058097099184
177090,26.139507637520964
178090,-420.42640649685086
178115,0.32379288681194307
178131,3.502568511293217
178170,10.682262078825943
178390,-15.128153644167167
178457,14.069812215262825
179457,-368.7286902714384
179500,11.59594052811553
179610,-13.648015816676018
180048,-252.40570592073172
180124,29.562842750545837
181124,-461.2313061466578
181243,6.267437815007959
181286,-14.483259609372041
181799,-60.24787705480256
181848,-26.46494725380214
182848,-458.39108390374514
182891,6.271083830479923
183891,-534.0902274768844
184891,-450.25875474358537
184951,12.705372246121595
185640,-218.08511089926975
186640,-342.79914154784365
187640,-475.6818892243171
187673,-4.269067159278488
187741,-29.27411608712187
187884,-63.47921438675036
188884,-473.5798439382049
188994,-86.61088114745041
189098,42.9498469009981
190098,-520.1204830326808
190334,-42.10016571534744
190371,-0.1474557771491325
190608,-84.15674014409647
190641,-6.1786897328965456
190765,-57.51210529759689
191765,-470.227529914524
191866,3.155688486881507
192866,-423.95908166332424
193866,-519.076442098076
193999,-17.832691222237024
194021,-7.55924675954411
195021,-475.34737319864394
196021,-356.1329095641107
196044,0.5839460622850774
196082,-12.40404726201413
196110,7.50459875829492
196228,17.064776461374798
196282,2.8406021032157858
197282,-525.1465742052375
197422,-30.51897780151949
197466,6.715555246081079
197525,23.326762796012666
198525,-560.2088541182941
198580,-0.5333450870094882
198645,-20.024505410769667
198731,-10.258068030776398
198900,-6.539858778517967
199023,-45.12858663377729
199224,-86.81168416613184
199253,0.8167857534653233
200253,-536.5044976996058
200490,-17.693080353837306
200750,45.0105032953099
201121,-38.28961575450924
202121,-529.389282266049
203121,-609.2459629087576
203166,9.300560669037553
203614,25.829958705246042
204614,-608.6758479836245
204717,-3.935756872891316
204823,-65.61839852182761
205153,-52.330173954413326
205340,-20.882041619622015
205389,44.65634220619047
205466,7.813365125966598
205760,-83.07070085224112
205942,-59.61684589664683
206015,17.98300240245834
206102,-0.8238816977138441
206254,-26.402595218250973
206299,-15.632465758378455
206318,-2.6799653588383903
206633,35.2866175404087
206665,1.7224448889183614
207665,-417.46056905193143
208665,-439.49894960610845
208694,7.174782252578002
208742,2.008463455441942
208813,20.97553224566532
208854,9.335815467293159
208866,4.31293444432475
209866,-103.67189410063271
210866,-333.09633122029703
211088,-1.382994833955511
211209,-0.8433492259385345
212209,-435.0825051792614
212229,23.568006869936582
212767,-228.6970942836909
213767,-593.0887177500831
214037,48.389923993150745
214201,-4.400788033319416
215201,-451.4572084011742
216201,-124.35494554380716
216261,-6.4932544303827076
216313,2.1532221494696167
216419,47.11220439317427
216447,8.493925376812523
216569,12.405930527216446
216886,67.36490491666724
217364,5.5902435307645195
217524,-41.23747756481685
217829,-70.97734353555259
218829,-445.6052047097833
218965,-48.49996150051169
218998,18.412183967999255
219998,-369.03433132017494
220998,-391.7587119016437
221998,-565.1588998378656
222018,-2.1099003092780073
223018,-342.223559126975
223228,41.322520293756504
223443,-23.86659381139754
223499,26.29950836553222
224499,-464.95240495024126
224562,18.154788289323974
225562,-365.7155121701049
225642,35.99603725504175
225765,-27.134115158881087
225865,28.36864265506228
226865,-498.1869913627663
227865,-391.41429270351887
228865,-321.4336755842457
229865,-456.77984814271724
230865,-443.96963267766245
230885,2.5352454108325984
231014,42.27260291667666
231338,72.98751463146642
231355,-5.55770546382505
232355,-438.30994985689756
232468,2.055829680421759
233468,-418.12165924598884
234468,-306.7552534445797
235468,-426.3213098042469
236468,-188.7224111961762
237468,-413.8384687449447
238468,-273.2543273177027
238549,35.591195273130914
239549,-466.7573021605011
239803,-35.293165694324315
240803,-493.6538250187278
240882,-19.503122833426964
240907,-2.845562933691542
240950,-8.371710915578149
241298,16.127187600004543
241407,-20.495103429268053
241460,1.4631901106416705
242460,-468.99318901347164
242585,36.29391910193756
242596,-0.4473108865654849
242606,4.362931326311722
243606,-536.2267244446844
244180,-38.5783181349107
245180,-404.19012288533
246180,-529.1429830910962
246363,-24.838322313861447
246670,10.887743469057401
246833,-19.498290726459903
247249,-6.6842653577646995
247263,-12.01142507038525
247331,-22.43735594705777
247556,-40.11046669878652
247659,67.33295777487814
247775,-33.54451175311332
248016,47.457560365988535
249016,65.56593215432802
249033,-6.044584249788662
249440,116.11545426149817
250440,-507.7479242394274
250464,4.121292115315752
251464,-480.4100181775246
252464,-453.8375053046678
252511,-7.581713870841284
252732,86.93663219728882
252868,4.797484617360174
253112,122.26182983482119
253269,-13.593087995972223
253558,-14.096601605904945
253819,15.072136275904922
253881,-11.596787901188627
254881,-178.85208914281287
254907,-4.776353105251797
254975,22.040894686944235
255161,28.218743876164783
255431,36.039341941026954
255554,5.821128017674734
255630,8.85150155221611
256009,-76.82673951460212
256116,-23.532799798941294
256271,1.6829303046314283
257082,-370.39010232328224
258082,-413.2130243456447
258092,0.9933168275349868
258482,97.11344890711067
259482,-262.2452000898722
260482,-248.6191816261401
261482,-497.5800721648677
262482,-389.2378016635931
262533,6.0421287954746825
262725,1.5144285171318632
262809,68.30591077192831
262900,0.030606374343084664
263292,180.83443072585675
263521,50.608306464766045
264521,-434.1963485738237
265521,-351.6451934922291
265592,-12.800365279220117
265610,5.175368171372382
266610,-461.58001160302894
266621,-2.9355051763422066
267621,-391.1862640445534
267686,25.868044647047093
267873,112.02415591734051
267948,63.62597977955235
268652,-313.8223185361984
268852,47.79764832752084
269037,60.58860203538826
270037,-533.8024882520082
271037,-550.4771215944866
271099,-26.655438203605968
271126,12.488303821660798
272126,-451.589647030635
272163,-19.697059790595063
272222,5.814086242280433
272480,-45.351575440434864
272751,48.11883104100585
273228,-88.17871522630381
273248,3.900892420648743
273378,30.44673499180573
273484,-3.5097742523814084
273595,67.12000839535307
273620,5.106791155108727
273771,68.89891467671465
274771,-476.96222966259523
274905,73.66368395823
275905,-255.7426544069434
276905,-544.5489180998579
277268,20.07241105797855
277354,15.099520433812794
277432,15.247092115506781
277441,5.276369999483651
277547,45.45083883248813
278547,-350.64235587399713
279547,-409.66067010043827
280547,-363.1840531742854
281547,-225.41040416992738
282547,-365.6030508391252
282869,108.5168303653823
283869,-404.4558338899547
284869,-517.8986720009339
285254,-17.49604550146598
285602,48.124300754666635
286602,-417.12519596553796
286802,60.721756213968646
286858,46.05554195300204
287031,14.572640333822559
287064,3.281715790680791
288064,-426.6969335611351
288325,50.21761553157539
289325,-297.21427827525804
289414,-19.67414412222174
290414,-383.7184662037599
290655,80.87243074416429
290732,-0.16296155727059514
290759,15.031454135896603
290793,23.889530461754255
291793,304.78829676094966
292793,-357.7443198787845
292979,76.22450473728233
293029,-0.8994828697258948
293108,52.947162021596355
293225,71.15923678648406
293345,49.07867063804435
294345,-292.4934687733979
295345,-481.99307322967644
295763,-13.216362071810618
295960,135.42022344924766
296654,0.2052375118751364
296889,20.294068255837324
297536,-120.79681833561142
298024,162.80724909426274
299024,-101.658088136015
299304,28.33711225361496
299343,14.602571193552077
299566,-17.97605550169612
300566,-331.123368781267
300760,28.44175174173001
301760,-348.9189694794094
302191,68.46093219561946
303191,-319.79008012896753
304191,-191.0803001448609
304460,87.20462145169856
305460,-297.24081010335135
305632,11.038367070431192
306244,105.57862131842123
307244,-369.1769468263933
308244,-307.77704678499265
308772,-75.89504257579824
308911,-23.808531571540062
308964,10.66595096834294
309399,145.85579293877018
309577,-3.836271038976184
310052,-72.39917913032303
310172,21.937022779270396
310943,-76.79734157754459
311943,-226.95763868672776
312137,84.20091132787394
312249,30.51553128743174
313249,-170.07533555641476
313531,138.22508818883483
313561,22.600215241636164
